# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
171234|182|19501|64.3|252.07|71.52|None|None|None|None|None
171235|182|366|93.913|43.62|224.22|None|None|None|None|None
171236|182|371|63.884|4.4|184.44|None|None|None|None|None
171237|182|19611|83.594|292.19|111.48|None|None|None|None|None
171238|182|19612|83.594|292.19|111.48|None|None|None|None|None
171239|182|19613|83.594|292.19|111.48|None|None|None|None|None
171240|182|140|96.43|336.76|156.4|None|None|None|None|None
171241|182|19635|96.43|336.76|156.4|None|None|None|None|None
171242|182|19642|99.221|283.33|102.45|None|None|None|None|None
171243|182|19643|99.221|283.33|102.45|None|None|None|None|None
171244|182|19644|99.221|283.33|102.45|None|None|None|None|None
171245|182|8396|81.4|98.69|279.42|None|None|None|None|None
171246|182|8397|81.4|98.69|279.42|None|None|None|None|None
171247|182|8398|81.4|98.69|279.42|None|None|None|None|None
171248|182|6141|66.216|256.2|75.62|None|None|None|None|None
171249|182|6142|66.216|256.2|75.62|None|None|None|None|None
171250|182|6143|66.216|256.2|75.62|None|None|None|None|None
171251|182|378|98.256|324.24|143.71|None|None|None|None|None
171252|182|152|86.452|330.31|149.92|None|None|None|None|None
171253|182|19765|87.66|268.76|87.96|None|None|None|None|None
171254|182|19766|87.66|268.76|87.96|None|None|None|None|None
171255|182|19767|87.66|268.76|87.96|None|None|None|None|None
171256|182|386|63.407|281.48|100.91|None|None|None|None|None
171257|182|19768|63.407|281.48|100.91|None|None|None|None|None
171258|182|19769|63.407|281.48|100.91|None|None|None|None|None
171259|182|19770|63.407|281.48|100.91|None|None|None|None|None
171260|182|19771|63.407|281.48|100.91|None|None|None|None|None
171261|182|19772|63.407|281.48|100.91|None|None|None|None|None
171262|182|19773|63.407|281.48|100.91|None|None|None|None|None
171263|182|20077|85.321|294.24|113.53|None|None|None|None|None
171264|182|20078|85.321|294.24|113.53|None|None|None|None|None
171265|182|20079|85.321|294.24|113.53|None|None|None|None|None
171266|182|413|83.724|229.2|48.63|None|None|None|None|None
171267|182|421|66.739|127.59|308.06|None|None|None|None|None
171268|182|423|52.738|245.88|65.45|None|None|None|None|None
171269|182|424|71.339|74.83|255.46|None|None|None|None|None
171270|182|428|88.17|101.98|282.76|None|None|None|None|None
171271|182|434|91.803|285.99|105.18|None|None|None|None|None
171272|182|6147|87.654|317.78|137.24|None|None|None|None|None
171273|182|6148|87.654|317.78|137.24|None|None|None|None|None
171274|182|6149|87.654|317.78|137.24|None|None|None|None|None

# 
# stations
# 
# Sid|Name|Network|Channel|LocationCode|Latitude|Longitude|ElevationMasl|Source
500|TIMB|CC|EHZ||45.33572|-121.71036|1869.0|IRIS
20782|2190|NP|HNE|LA|45.63771|-121.94762|25.0|NCEDC,IRIS
20783|2190|NP|HNN|LA|45.63771|-121.94762|25.0|NCEDC,IRIS
